time,jogos,gols_feitos,gols_sofridos,xg,xga,esc_feitos,esc_sofridos,cartoes
Palmeiras,12,1.333,0.5,0.891,0.767,6.5,4.833,2.417
Botafogo,13,1.846,1.692,1.252,1.366,4.308,5.385,3.154
Athletico-PR,13,1.385,0.923,1.265,0.828,5.231,4.385,2.385
Cruzeiro,12,1.417,1.167,1.483,0.899,5.0,3.917,2.417
Atlético-MG,12,1.25,1.083,1.383,1.224,4.167,4.0,1.667
São Paulo,12,1.083,1.417,1.206,1.188,7.333,4.25,2.667
Mirassol,12,0.833,1.333,1.018,1.312,5.75,5.25,2.917
Coritiba,12,1.333,1.5,0.943,1.543,3.083,6.083,2.083
Santos,12,1.417,1.5,1.265,1.318,4.25,5.333,3.333
Internacional,12,1.5,1.167,1.459,0.958,5.25,4.333,2.667
Vasco da Gama,12,1.167,1.583,1.362,1.352,4.5,3.833,2.25
Fluminense,12,1.5,1.417,1.205,1.182,5.5,4.083,2.333
Grêmio,12,0.833,1.083,0.768,1.375,3.5,5.25,2.5
Vitória,12,1.167,1.417,0.911,1.516,3.75,4.917,2.75
Flamengo,12,1.833,1.0,1.643,1.043,4.75,5.167,2.917
Remo,12,1.25,1.5,0.988,1.216,4.25,7.0,1.667
Chapecoense,12,0.667,2.0,0.988,1.656,3.667,4.917,2.667
Corinthians,12,1.0,1.083,0.932,1.032,5.083,4.417,2.667
RB Bragantino,11,1.818,1.0,1.644,0.926,5.909,5.0,2.636
Bahia,11,1.545,1.818,1.477,1.334,6.182,5.455,2.364
