time,jogos,gols_feitos,gols_sofridos,xg,xga,esc_feitos,esc_sofridos,cartoes
Londrina,13,1.077,1.615,0.835,1.202,5.077,6.308,2.385
Sport Recife,12,1.333,0.667,1.587,1.17,5.167,6.333,2.75
Avaí,12,1.0,1.667,0.879,1.385,3.75,6.333,3.333
Operário-PR,13,1.231,1.231,1.129,1.062,4.615,5.385,2.769
Novorizontino,13,1.769,0.846,1.473,1.002,5.0,4.0,2.462
CRB,12,1.75,1.75,1.298,1.448,4.75,5.083,3.75
Athletic Club,12,1.0,1.083,1.012,1.283,4.667,5.667,2.917
América-MG,13,0.615,1.615,1.02,1.355,5.077,4.769,2.385
Botafogo-SP,12,0.667,1.0,1.01,0.965,6.417,5.333,2.75
São Bernardo-SP,13,1.385,0.692,1.298,1.2,3.308,6.923,2.846
Goiás,12,0.667,1.5,1.163,1.346,4.75,4.417,2.583
Criciúma,13,1.154,0.769,1.176,0.953,6.692,4.769,2.154
Juventude,11,1.182,0.364,1.185,1.006,4.636,4.273,2.091
Ponte Preta,11,0.727,2.091,1.072,1.45,6.0,6.091,3.545
Vila Nova,12,1.5,1.083,1.024,1.367,4.75,5.0,3.25
Ceará,11,1.0,1.273,1.051,1.218,5.636,4.455,2.636
Náutico,11,1.636,1.455,1.516,1.224,6.091,4.273,2.636
Cuiabá,12,0.917,0.583,0.874,0.872,5.25,3.417,2.167
Fortaleza,11,1.273,0.909,1.285,1.213,5.364,5.091,3.0
Atlético-GO,11,1.273,1.0,2.015,1.125,6.364,4.818,2.727
