data,hora,mandante,visitante,rodada
2026-06-25,23:00,Paraguai,Austrália,Rodada
2026-06-25,23:00,Turquia,EUA,Rodada
2026-06-26,16:00,Noruega,França,Rodada
2026-06-26,16:00,Senegal,Iraque,Rodada
2026-06-26,21:00,Uruguai,Espanha,Rodada
2026-06-26,21:00,Cabo Verde,Arábia Saudita,Rodada
2026-06-27,00:00,Egito,Irã,Rodada
2026-06-27,00:00,Nova Zelândia,Bélgica,Rodada
2026-06-27,18:00,Croácia,Gana,Rodada
2026-06-27,18:00,Panamá,Inglaterra,Rodada
2026-06-27,20:30,Colômbia,Portugal,Rodada
2026-06-27,20:30,RD Congo,Uzbequistão,Rodada
2026-06-27,23:00,Argélia,Áustria,Rodada
2026-06-27,23:00,Jordânia,Argentina,Rodada
2026-06-28,16:00,África do Sul,Canadá,Rodada
