time,jogos,gols_feitos,gols_sofridos,xg,xga,esc_feitos,esc_sofridos,cartoes
México,4,2.011,0.0,1.195,0.574,1.754,4.131,0.722
África do Sul,4,0.502,0.978,0.69,1.187,2.753,4.525,1.684
Coreia do Sul,3,0.636,1.0,1.348,0.845,4.029,2.982,1.334
Tchéquia,3,0.652,2.014,0.789,1.798,5.0,3.289,0.334
Canadá,4,2.227,0.747,2.207,0.601,9.626,1.962,1.755
Bósnia e Herzegovina,4,1.242,2.0,0.521,1.222,3.743,6.157,1.956
EUA,4,2.466,1.0,1.374,1.047,5.779,2.523,1.49
Paraguai,4,0.744,1.2,0.377,1.4,2.073,8.64,2.446
Catar,3,0.668,3.355,0.533,2.792,3.029,11.258,1.986
Suíça,3,2.344,1.0,2.097,0.844,6.23,4.387,1.0
Brasil,4,2.265,0.499,2.376,0.731,5.508,3.765,1.754
Marrocos,4,1.764,1.009,1.893,0.654,6.102,3.48,0.51
Haiti,3,0.692,2.705,0.645,2.221,2.962,5.409,2.36
Escócia,3,0.32,1.371,0.866,2.164,4.049,5.026,1.64
Austrália,3,0.639,0.666,0.685,0.878,3.972,5.235,1.68
Turquia,3,1.042,1.667,2.203,1.224,7.248,4.724,0.653
Alemanha,4,2.664,1.255,2.488,0.681,8.058,2.549,0.525
Curaçao,3,0.32,2.933,0.456,3.516,0.32,5.567,1.67
Holanda,4,2.732,1.236,1.15,0.814,3.751,4.53,0.709
Japão,4,1.975,1.252,0.804,0.757,2.956,4.259,0.787
Costa do Marfim,4,1.255,1.019,1.41,1.615,5.137,3.937,0.707
Equador,4,0.509,1.018,1.522,1.017,5.501,1.498,1.536
Suécia,4,1.679,2.511,0.764,1.616,3.2,3.591,0.992
Tunísia,3,0.666,3.974,0.186,1.493,1.988,3.988,0.32
Espanha,3,1.682,0.0,1.738,0.18,7.601,1.0,0.666
Cabo Verde,3,0.668,0.668,0.839,1.582,3.039,7.887,1.334
Bélgica,4,2.3,1.018,2.144,1.412,4.547,3.943,1.227
Egito,3,1.668,1.0,1.261,1.528,6.01,2.668,2.012
Arábia Saudita,3,0.32,1.656,0.393,1.8,2.306,7.87,2.026
Uruguai,3,0.988,1.334,1.395,0.803,8.502,4.692,2.051
Irã,3,0.986,0.986,1.369,1.285,2.64,4.423,2.038
Nova Zelândia,3,1.32,3.371,0.894,2.364,3.385,5.049,1.36
França,4,3.254,0.491,2.313,0.897,6.036,2.721,0.254
Senegal,4,2.525,2.239,2.255,1.459,5.505,4.466,0.77
Iraque,3,0.321,4.01,0.516,2.739,2.344,7.075,1.689
Noruega,4,2.467,2.01,2.07,1.386,4.223,6.395,0.516
Argentina,3,2.666,0.346,1.928,0.542,3.049,2.334,0.668
Argélia,3,1.705,2.332,1.311,1.129,3.98,2.012,0.334
Áustria,3,1.998,2.026,1.233,1.513,3.32,1.295,1.334
Jordânia,3,1.0,2.666,0.621,1.909,1.986,6.695,1.371
Portugal,3,1.995,0.321,1.403,0.945,3.298,3.675,1.298
RD Congo,4,1.261,1.261,1.053,1.012,3.23,4.746,1.508
Inglaterra,4,1.98,0.736,2.056,0.577,7.209,2.516,0.763
Croácia,3,1.665,1.628,0.922,1.432,2.344,5.6,0.679
Gana,3,0.665,0.689,0.678,0.834,2.0,4.688,1.0
Panamá,3,0.0,1.344,0.646,1.491,4.018,3.721,1.665
Uzbequistão,3,0.665,3.67,0.522,2.141,3.01,2.977,1.344
Colômbia,3,1.298,0.321,1.43,0.816,4.679,2.99,1.335
