id,registrado_em,liga,data,hora,mandante,visitante,p1,px,p2,po05,po15,po25,pbtts,pesc95,pcart45,status,gm,gv,corners,cards,conferido_em
2026-06-25|japao|suecia,25/06/2026 19:17,copa_mundo,2026-06-25,20:00,Japão,Suécia,0.5855,0.2224,0.1921,0.9505,0.8254,0.6054,0.5841,0.445,0.2956,previsto,,,,,
2026-06-25|tunisia|holanda,25/06/2026 19:17,copa_mundo,2026-06-25,20:00,Tunísia,Holanda,0.2253,0.2396,0.535,0.9434,0.8057,0.5746,0.579,0.445,0.3205,previsto,,,,,
2026-06-25|cuiaba|londrina,25/06/2026 19:17,brasileirao_b,2026-06-25,20:30,Cuiabá,Londrina,0.4016,0.3137,0.2847,0.8684,0.6261,0.3479,0.424,0.5603,0.5505,previsto,,,,,
2026-06-25|paraguai|australia,25/06/2026 19:17,copa_mundo,2026-06-25,23:00,Paraguai,Austrália,0.3826,0.2912,0.3262,0.9021,0.701,0.4322,0.4967,0.5253,0.49,previsto,,,,,
2026-06-25|turquia|eua,25/06/2026 19:17,copa_mundo,2026-06-25,23:00,Turquia,EUA,0.3462,0.2925,0.3613,0.9011,0.6986,0.4294,0.4954,0.5253,0.3703,previsto,,,,,
2026-06-26|noruega|franca,25/06/2026 19:17,copa_mundo,2026-06-26,16:00,Noruega,França,0.4287,0.2483,0.3231,0.9498,0.8254,0.6047,0.6283,0.4614,0.2223,previsto,,,,,
2026-06-26|senegal|iraque,25/06/2026 19:17,copa_mundo,2026-06-26,16:00,Senegal,Iraque,0.565,0.2234,0.2116,0.9549,0.839,0.6273,0.6116,0.4614,0.2708,previsto,,,,,
2026-06-26|novorizontino|vila nova,25/06/2026 19:17,brasileirao_b,2026-06-26,19:00,Novorizontino,Vila Nova,0.4427,0.2795,0.2778,0.9113,0.7225,0.459,0.5102,0.4901,0.5877,previsto,,,,,
2026-06-26|cabo verde|arabia saudita,25/06/2026 19:17,copa_mundo,2026-06-26,21:00,Cabo Verde,Arábia Saudita,0.5027,0.2655,0.2318,0.9179,0.738,0.4792,0.5109,0.6143,0.3703,previsto,,,,,
2026-06-26|uruguai|espanha,25/06/2026 19:17,copa_mundo,2026-06-26,21:00,Uruguai,Espanha,0.3567,0.2849,0.3584,0.9109,0.722,0.4582,0.5184,0.6143,0.2956,previsto,,,,,
2026-06-27|egito|ira,25/06/2026 19:17,copa_mundo,2026-06-27,00:00,Egito,Irã,0.5094,0.2594,0.2312,0.9244,0.7546,0.5014,0.5272,0.4202,0.3454,previsto,,,,,
2026-06-27|nova zelandia|belgica,25/06/2026 19:17,copa_mundo,2026-06-27,00:00,Nova Zelândia,Bélgica,0.3804,0.2792,0.3404,0.9176,0.7385,0.4794,0.5346,0.4202,0.3703,previsto,,,,,
2026-06-27|operario-pr|america-mg,25/06/2026 19:17,brasileirao_b,2026-06-27,11:00,Operário-PR,América-MG,0.47,0.2463,0.2837,0.9477,0.8191,0.5949,0.6139,0.4901,0.6247,previsto,,,,,
2026-06-27|criciuma|sao bernardo-sp,25/06/2026 19:17,brasileirao_b,2026-06-27,16:00,Criciúma,São Bernardo-SP,0.3684,0.3197,0.3119,0.8629,0.6149,0.3363,0.4177,0.5555,0.5898,previsto,,,,,
